Metabolomic Feature,Retention Time,m/z,Cluster (if DA),Putative Chemical Class,Exact Match to Standard (* = isomer family),Adduct
HILIC-neg_Cluster_0549,7.069007,217.107649,#N/A,Hydroxy acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0550,3.818143,217.119026,#N/A,Beta amino acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0551,7.033002,218.066679,#N/A,Sulfoxides,#N/A,#N/A
HILIC-neg_Cluster_0553,1.543097,218.104416,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0554,7.188470,219.050779,#N/A,Tricarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0555,3.720275,219.080494,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0556,4.109706,219.097710,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0557,14.587952,219.175054,#N/A,Sesquiterpenoids,#N/A,#N/A
HILIC-neg_Cluster_0558,3.603881,220.097593,#N/A,Tetrahydroisoquinolines,#N/A,#N/A
HILIC-neg_Cluster_0559,9.570415,221.012115,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0561,1.699789,221.066277,#N/A,O-glucuronides,#N/A,#N/A
HILIC-neg_Cluster_0563,4.193442,221.066143,#N/A,O-glucuronides,#N/A,#N/A
HILIC-neg_Cluster_0564,3.540611,221.081764,#N/A,Benzopyrans,#N/A,#N/A
HILIC-neg_Cluster_0565,3.889704,222.040621,#N/A,Benzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0566,6.407574,222.040425,#N/A,Benzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0567,3.933320,222.077033,#N/A,Tetrahydroisoquinolines,#N/A,#N/A
HILIC-neg_Cluster_0568,1.721050,222.097544,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0572,7.478564,223.072240,#N/A,Alkyl-phenylketones,#N/A,#N/A
HILIC-neg_Cluster_0573,1.621381,223.082037,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0574,8.669359,224.019972,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0575,4.114037,224.056074,#N/A,Hippuric acids,#N/A,#N/A
HILIC-neg_Cluster_0576,8.119109,224.055931,#N/A,Hippuric acids,#N/A,#N/A
HILIC-neg_Cluster_0577,7.013485,224.057007,#N/A,Hippuric acids,#N/A,#N/A
HILIC-neg_Cluster_0579,1.015032,224.165498,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0580,3.722931,225.007274,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0581,4.000036,225.007115,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0582,7.208617,225.007188,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0583,3.840842,225.040461,#N/A,P-methoxybenzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0586,7.611031,225.051450,#N/A,Tyrosine and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0587,5.644033,225.066506,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0588,4.309483,225.099298,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0590,3.732731,225.112813,#N/A,Pyranones and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0591,3.375468,225.185868,#N/A,Monoterpenoids,#N/A,#N/A
HILIC-neg_Cluster_0592,4.011971,226.038862,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0593,8.202927,226.035693,#N/A,Pyridines and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0594,4.696088,226.071709,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0595,4.988256,226.071733,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0596,4.258953,226.082612,#N/A,Pyrimidine nucleosides,#N/A,#N/A
HILIC-neg_Cluster_0597,4.091271,227.022880,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0599,3.865998,227.056112,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0600,9.716445,227.055923,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0601,7.344092,227.055675,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0602,3.701296,227.064588,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0603,1.458012,227.067017,#N/A,Pyrimidine nucleosides,#N/A,#N/A
HILIC-neg_Cluster_0604,5.003716,227.101052,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0605,6.793419,227.103676,#N/A,Carboxylic acid derivatives,#N/A,#N/A
HILIC-neg_Cluster_0606,3.809316,227.114666,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0608,4.012587,227.128578,#N/A,Lactones,#N/A,#N/A
HILIC-neg_Cluster_0609,7.364869,227.128677,#N/A,Lactones,#N/A,#N/A
HILIC-neg_Cluster_0610,3.392030,227.139865,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0611,3.366103,227.201600,#N/A,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_0612,14.665053,227.201509,#N/A,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_0613,4.121639,228.027784,#N/A,Pentose phosphates,#N/A,#N/A
HILIC-neg_Cluster_0616,7.158985,228.051108,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0617,3.013784,228.098828,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0618,1.089455,228.171486,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0619,3.913759,229.071099,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0620,4.359840,229.071326,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0621,6.657293,229.082675,#N/A,Proline and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0623,7.297807,229.107824,#N/A,Organic disulfides,#N/A,#N/A
HILIC-neg_Cluster_0626,3.443554,229.155349,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0627,7.513926,230.012543,#N/A,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0628,3.151579,230.046381,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0629,6.988534,230.066358,#N/A,N-acyl-L-alpha-amino acids,#N/A,#N/A
HILIC-neg_Cluster_0630,6.957792,230.103241,#N/A,N-acyl-alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0631,4.024037,230.114444,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0632,7.754649,230.996386,#N/A,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0633,3.879929,231.050663,#N/A,Thioacetals,#N/A,#N/A
HILIC-neg_Cluster_0634,9.207397,231.050745,#N/A,Dithioacetals,#N/A,#N/A
HILIC-neg_Cluster_0637,6.922321,231.098407,#N/A,Glutamine and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0638,7.038033,231.123539,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0639,3.718996,231.134687,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0640,8.589706,231.991802,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0641,7.162420,232.045909,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0642,6.921307,232.082382,#N/A,Sulfoxides,#N/A,#N/A
HILIC-neg_Cluster_0643,4.313817,232.093858,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0645,1.380098,233.066320,#N/A,Tricarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0647,7.100786,233.066239,#N/A,Tricarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0648,6.992855,233.077472,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0649,1.033247,233.086343,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0651,7.443911,233.924273,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0652,1.341498,234.097887,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0653,3.532186,234.113287,#N/A,Dihydrofurans,#N/A,#N/A
HILIC-neg_Cluster_0654,4.361783,235.039028,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0655,4.862204,235.072089,#N/A,Butyrophenones,#N/A,#N/A
HILIC-neg_Cluster_0656,5.037365,235.072189,#N/A,Alkyl-phenylketones,#N/A,#N/A
HILIC-neg_Cluster_0657,1.468017,235.081966,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0658,3.704708,235.108419,#N/A,Diazines,#N/A,#N/A
HILIC-neg_Cluster_0659,1.394115,235.181218,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0660,1.690114,235.181157,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0661,1.938808,235.181002,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0662,2.463081,235.181409,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0663,3.162902,235.181365,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0664,3.545990,235.181502,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0665,3.923837,235.181224,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0666,4.342414,235.181324,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0667,4.924516,235.181461,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0668,14.089816,235.181332,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0669,1.032170,235.181485,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0670,3.817764,236.092574,#N/A,Coumarans,#N/A,#N/A
HILIC-neg_Cluster_0671,14.062690,236.165287,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0672,8.765782,237.040442,#N/A,Benzoic acid esters,#N/A,#N/A
HILIC-neg_Cluster_0673,1.596978,237.076596,#N/A,Phenylpropanes,#N/A,#N/A
HILIC-neg_Cluster_0678,8.435192,239.055928,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0679,10.064373,239.055968,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0680,4.833999,239.055960,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0681,7.013202,239.092348,#N/A,Furanoid fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0682,3.508249,239.128828,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0683,3.326022,239.201349,#N/A,Lactones,#N/A,#N/A
HILIC-neg_Cluster_0685,4.697481,239.987015,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0686,4.797011,240.051087,#N/A,Benzoxazines,#N/A,#N/A
HILIC-neg_Cluster_0687,7.395829,240.051033,#N/A,Benzoxazines,#N/A,#N/A
HILIC-neg_Cluster_0689,4.992737,240.087418,#N/A,Anisoles,#N/A,#N/A
HILIC-neg_Cluster_0690,7.389316,241.002061,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0691,3.500762,241.071636,#N/A,Dicarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0692,3.653069,241.071164,#N/A,Dicarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0693,7.082140,241.071581,#N/A,Dicarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0694,1.344900,241.082760,#N/A,Pyrimidine nucleosides,#N/A,#N/A
HILIC-neg_Cluster_0696,3.656259,241.119297,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0699,6.912230,242.066991,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0700,2.167070,242.175933,#N/A,N-acyl-alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0701,14.095427,242.175967,#N/A,N-acyl-alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0702,4.372827,243.017355,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0705,7.406285,243.051077,#N/A,Benzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0708,3.758673,243.086971,#N/A,Phenols,#N/A,#N/A
HILIC-neg_Cluster_0709,7.113556,243.086794,#N/A,Phenols,#N/A,#N/A
HILIC-neg_Cluster_0710,6.625135,243.098269,#N/A,Glutamine and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0712,3.382797,243.171131,#N/A,Peptides,#N/A,#N/A
HILIC-neg_Cluster_0714,2.147347,244.093485,#N/A,Peptides,#N/A,#N/A
HILIC-neg_Cluster_0715,3.928207,244.129973,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0716,4.320850,245.042778,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0717,2.056421,245.042975,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0718,6.875059,245.113916,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0720,7.113972,246.061746,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0721,4.142479,246.109267,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0722,8.732015,246.991348,#N/A,M-methoxybenzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0723,3.856700,247.039232,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0726,4.553103,247.058515,#N/A,Peptidomimetics,#N/A,#N/A
HILIC-neg_Cluster_0727,3.966884,247.081934,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0728,6.896654,247.093039,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0729,3.539552,247.111743,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0731,7.492520,248.023204,#N/A,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0732,6.978962,248.077670,#N/A,Fatty amides,#N/A,#N/A
HILIC-neg_Cluster_0733,3.575551,248.972891,#N/A,Aminobenzenesulfonamides,#N/A,#N/A
HILIC-neg_Cluster_0734,14.887221,248.972992,#N/A,Aminobenzenesulfonamides,#N/A,#N/A
HILIC-neg_Cluster_0735,7.139356,249.061248,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0736,14.349985,249.160583,#N/A,Alpha amino acid amides,#N/A,#N/A
HILIC-neg_Cluster_0737,1.032158,249.160808,#N/A,Alpha amino acid amides,#N/A,#N/A
HILIC-neg_Cluster_0738,8.690479,250.035230,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0739,1.936586,251.076854,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0741,4.325418,251.077000,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0742,1.034921,251.096876,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0743,3.583995,251.094411,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0744,3.981563,251.103321,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0745,3.327901,251.201421,#N/A,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_0746,1.072820,251.237855,#N/A,Fatty aldehydes,#N/A,#N/A
HILIC-neg_Cluster_0747,4.193892,252.004266,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0748,4.642817,252.073800,#N/A,Purines and purine derivatives,#N/A,#N/A
HILIC-neg_Cluster_0749,2.214862,252.098541,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0750,4.934860,253.056133,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0751,1.478212,253.092554,#N/A,Glycosylglycerols,#N/A,#N/A
HILIC-neg_Cluster_0752,1.777495,253.092659,#N/A,Glycosylglycerols,#N/A,#N/A
HILIC-neg_Cluster_0753,1.943190,253.092723,#N/A,Glycosylglycerols,#N/A,#N/A
HILIC-neg_Cluster_0754,3.431248,253.107801,#N/A,p-Hydroxybenzoic acid alkyl esters,#N/A,#N/A
HILIC-neg_Cluster_0755,2.967464,253.119008,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0756,4.119260,253.130503,#N/A,Alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0757,3.314848,253.217023,#N/A,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0758,4.160426,254.066838,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0760,5.584290,254.066816,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0761,4.095916,254.079594,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0762,6.077431,254.066815,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0763,6.895825,254.066900,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0764,7.348348,254.066901,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0765,7.946758,254.981556,#N/A,Dihydrofurans,#N/A,#N/A
HILIC-neg_Cluster_0767,4.361908,255.108160,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0768,2.876045,255.132418,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0771,1.067730,255.232934,#N/A,Fatty acids and conjugates,#N/A,#N/A
HILIC-neg_Cluster_0772,3.307643,255.232731,#N/A,Fatty acids and conjugates,#N/A,#N/A
HILIC-neg_Cluster_0773,1.774902,256.058997,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0775,4.124728,256.093757,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0777,7.108667,257.066541,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0778,5.091073,257.077704,#N/A,Pyrimidine nucleosides,#N/A,#N/A
HILIC-neg_Cluster_0779,3.431220,257.081779,#N/A,Isoflavonoids,#N/A,#N/A
HILIC-neg_Cluster_0780,2.744125,257.165634,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0781,3.703795,257.165722,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0783,1.775038,258.055920,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0785,7.091929,258.061482,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0786,4.790812,258.076475,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0787,1.104169,258.145603,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0788,4.552762,259.012445,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0789,3.671285,259.090308,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0790,3.935239,259.081991,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0791,1.378989,259.082019,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0792,6.811910,259.129656,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0794,6.232762,260.023197,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0795,4.170175,260.077134,#N/A,O-glycosyl compounds,#N/A,#N/A
HILIC-neg_Cluster_0797,5.769361,260.124757,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0798,8.534507,261.006928,#N/A,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0799,8.764731,261.007010,#N/A,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0800,9.226693,261.007416,#N/A,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0801,4.420703,261.028328,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0802,9.160416,261.060596,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0803,8.882409,261.072011,#N/A,Peptidomimetics,#N/A,#N/A
HILIC-neg_Cluster_0805,2.293362,261.108859,#N/A,Glutamic acid and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0806,3.462970,261.128155,#N/A,Diarylheptanoids,#N/A,#N/A
HILIC-neg_Cluster_0807,3.596365,261.123930,#N/A,Diazines,#N/A,#N/A
HILIC-neg_Cluster_0809,3.777443,262.069245,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0811,1.453394,263.043706,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0812,6.952950,263.077174,#N/A,O-glycosyl compounds,#N/A,#N/A
HILIC-neg_Cluster_0813,1.034032,263.097011,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0814,3.547710,263.139638,#N/A,Hydroxycinnamic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0815,8.357040,264.051160,#N/A,Cinnamic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0817,2.173875,264.072521,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0818,4.400306,265.007520,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0819,2.925466,265.147582,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0821,1.064287,265.253373,#N/A,Cyclic ketones,#N/A,#N/A
HILIC-neg_Cluster_0822,2.872684,266.124220,#N/A,Alcohols and polyols,#N/A,#N/A
HILIC-neg_Cluster_0825,4.885694,267.073153,#N/A,Purine nucleosides,#N/A,#N/A
HILIC-neg_Cluster_0826,3.840211,267.073415,#N/A,Purine nucleosides,#N/A,#N/A
HILIC-neg_Cluster_0827,3.625885,267.089494,#N/A,4-halobenzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0828,1.364194,267.108106,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0829,7.551441,267.123494,#N/A,Ketals,#N/A,#N/A
HILIC-neg_Cluster_0830,4.040437,267.145827,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0831,3.600476,267.159780,#N/A,Dioxolopyrans,#N/A,#N/A
HILIC-neg_Cluster_0832,6.019953,269.041169,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0833,14.337302,269.045324,#N/A,Flavones,#N/A,#N/A
HILIC-neg_Cluster_0834,2.220956,269.066756,#N/A,Phenolic glycosides,#N/A,#N/A
HILIC-neg_Cluster_0836,7.161993,269.066270,#N/A,Phenolic glycosides,#N/A,#N/A
HILIC-neg_Cluster_0838,7.048694,269.139304,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0839,3.285126,269.212259,#N/A,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0840,3.452459,269.211825,#N/A,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0842,5.303964,270.043952,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0843,9.280476,270.061869,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0844,5.040085,270.061702,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0845,4.748992,270.098007,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0846,3.727272,271.081694,#N/A,Phenolic glycosides,#N/A,#N/A
HILIC-neg_Cluster_0848,6.980453,271.154927,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0849,3.851630,271.191321,#N/A,Sesquiterpenoids,#N/A,#N/A
HILIC-neg_Cluster_0850,3.253814,271.227679,#N/A,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0851,3.448468,271.227594,#N/A,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0852,3.659163,272.111380,#N/A,Tetralins,#N/A,#N/A
HILIC-neg_Cluster_0853,2.000097,272.129050,#N/A,Benzodioxoles,#N/A,#N/A
HILIC-neg_Cluster_0854,1.102062,272.186531,#N/A,Acyl carnitines,#N/A,#N/A
HILIC-neg_Cluster_0855,2.138640,272.186535,#N/A,Acyl carnitines,#N/A,#N/A
HILIC-neg_Cluster_0856,7.948265,273.007350,#N/A,Cinnamic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0857,7.453958,273.061253,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0858,4.927859,273.076390,#N/A,Alpha-methyldeoxybenzoin flavonoids,#N/A,#N/A
HILIC-neg_Cluster_0860,4.200218,274.052562,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0861,6.868002,274.105214,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0862,5.592185,274.140416,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0863,3.878608,274.140758,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0864,7.529345,275.023200,#N/A,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0865,7.968843,275.022920,#N/A,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0866,4.050526,275.075943,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0867,4.292811,275.077084,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0868,9.135176,275.076893,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0869,8.827706,275.088448,#N/A,Glutamic acid and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0871,1.074688,275.237963,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0872,4.255680,276.048176,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0873,9.101373,276.072256,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0875,4.060882,277.049615,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0876,1.346627,277.059453,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0878,3.315719,277.144226,#N/A,Benzopyrans,#N/A,#N/A
HILIC-neg_Cluster_0880,3.493120,277.155607,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0881,1.071888,277.217323,#N/A,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0883,1.073129,277.253284,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0884,2.360458,278.066708,#N/A,Aspartic acid and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0885,4.281317,279.023065,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0886,1.799564,279.038559,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0887,1.347331,279.056274,#N/A,Benzenesulfonamides,#N/A,#N/A
HILIC-neg_Cluster_0888,1.823483,279.066273,#N/A,Furanoisoflavonoids,#N/A,#N/A
HILIC-neg_Cluster_0889,7.169486,279.098556,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0890,4.086539,279.134521,#N/A,Cinnamic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0891,3.273089,279.216927,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0892,2.737072,279.232569,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0893,1.071918,279.232512,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0896,1.067888,279.269340,#N/A,Sesquiterpenoids,#N/A,#N/A
HILIC-neg_Cluster_0897,5.442393,280.092936,#N/A,Glutamine and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0898,1.780074,280.103226,#N/A,C-glycosyl compounds,#N/A,#N/A
HILIC-neg_Cluster_0899,1.799602,281.035753,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0900,3.645427,281.065986,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0901,6.730025,281.077786,#N/A,Phenol esters,#N/A,#N/A
HILIC-neg_Cluster_0902,2.110166,281.087582,#N/A,O-glycosyl compounds,#N/A,#N/A
